순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국.1,전국.2,서울,서울.1,장르,등급,영화구분,OTT,Netflix
626.0,에픽하이 20 더 무비,조윤수,(주)영화사 그램,,"씨지브이 아이스콘,(주)플레이그램",2024-03-20,개봉영화,장편,한국,54,"139,627,500","6,620","92,653,500","4,211",공연,12세이상관람가,일반영화,"wavve, Watcha, TVING",False
627.0,노 웨이 업,클라우디오 파,,,스튜디오 에이드,2024-06-19,개봉영화,장편,영국,147,"51,781,600","6,580","17,814,400","2,340",액션,15세이상관람가,일반영화,"Netflix, wavve, Watcha, Netflix Standard with Ads, TVING",True
629.0,비밀,"임경호,소준범",스튜디오고트,,(주)영화특별시에스엠씨,2023-12-13,개봉영화,장편,한국,126,"66,190,305","6,530","33,909,102","3,198",미스터리,청소년관람불가,일반영화,"Netflix, wavve, Watcha, Netflix Standard with Ads, TVING",True
633.0,장난을 잘 치는 타카기 양,이마이즈미 리키야,,(주)블루라벨픽쳐스,TCO(주)더콘텐츠온,2025-03-05,개봉영화,장편,일본,127,"61,459,560","6,429","25,734,200","2,581",멜로/로맨스,12세이상관람가,일반영화,"wavve, Watcha, TVING",False
635.0,아서,사이먼 셀란 존스,,(주)누리픽쳐스,(주)누리픽쳐스,2024-04-17,개봉영화,장편,미국,121,"50,882,980","6,240","17,562,150","2,125",어드벤처,12세이상관람가,일반영화,"Watcha, TVING",False
644.0,말할 수 없는 비밀: 마지막 챕터,카와이 하야토,,주식회사 블루필름웍스,(주)호라이즌웍스,2025-10-30,개봉영화,장편,일본,158,"37,207,400","6,107","13,985,200","2,279",멜로/로맨스,전체관람가,일반영화,TVING,False
645.0,극장판 프리큐어 올스타즈 F,,,(주)엔케이컨텐츠,(주)디스테이션,2024-07-31,개봉영화,장편,일본,104,"62,614,346","6,007","34,865,839","3,015",애니메이션,전체관람가,일반영화,"wavve, Watcha, TVING",False
646.0,서태지 25주년 라이브 타임: 트래블러,서태지,,,씨제이 씨지브이(CJ CGV)(주),2023-09-06,개봉영화,장편,한국,44,"118,467,500","5,924","63,316,000","3,166",공연,전체관람가,일반영화,"wavve, Watcha",False
648.0,수 분간의 응원을,포푸리카,,(주)애니플러스,(주)애니플러스,2024-09-25,개봉영화,장편,일본,84,"48,397,300","5,849","24,046,500","2,904",드라마,전체관람가,일반영화,"Watcha, TVING",False
651.0,빅트립2: 아기곰 배달 대작전,바실리 로벤스키,,(유)영화사 화수분,와이드 릴리즈(주),2023-05-27,개봉영화,장편,러시아,128,"49,824,450","5,657","13,332,150","1,457",애니메이션,전체관람가,일반영화,"wavve, Watcha, TVING",False
652.0,드림쏭3,안소니 벨,,주식회사 원더스튜디오,"주식회사 원더스튜디오,영화사빅",2024-03-28,개봉영화,장편,미국,238,"47,088,089","5,625","2,770,400",318,애니메이션,전체관람가,일반영화,Watcha,False
653.0,스트레인저스: 챕터1,레니 할린,,판씨네마(주),판씨네마(주),2024-08-28,개봉영화,장편,미국,223,"50,497,778","5,555","15,024,378","1,623",공포(호러),15세이상관람가,일반영화,TVING,False
661.0,레트리뷰션,님로드 안탈,,(주)퍼스트런,메가박스중앙(주),2024-01-24,개봉영화,장편,미국,202,"42,480,002","5,115","13,860,080","1,700",액션,15세이상관람가,일반영화,"Netflix, wavve, Watcha, Netflix Standard with Ads, TVING",True
662.0,킹덤 3: 운명의 불꽃,사토 신스케,,(주)도키엔터테인먼트,"와이드 릴리즈(주),(주)플레이그램,(주)이놀미디어",2024-01-17,개봉영화,장편,일본,136,"36,139,270","4,994","14,601,400","2,034",액션,15세이상관람가,일반영화,"Netflix, wavve, Watcha, Netflix Standard with Ads, TVING",True
667.0,극장판 울려라! 유포니엄: 앙상블 콘테스트,이시하라 타츠야,,(주)초이락미디어,(주)스튜디오디에이치엘,2024-04-17,개봉영화,장편,일본,99,"44,271,951","4,843","24,132,960","2,553",애니메이션,전체관람가,일반영화,"Watcha, TVING",False
673.0,물은 바다를 향해 흐른다,마에다 테츠,,(주)미디어캐슬,트윈플러스파트너스(주),2024-08-07,개봉영화,장편,일본,57,"41,449,500","4,761","18,423,300","2,040",드라마,12세이상관람가,일반영화,wavve,False
677.0,슈가: 로드 투 디데이,박준수,(주)하이브,,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2023-06-16,개봉영화,장편,한국,80,"94,042,500","4,563","49,562,500","2,395",다큐멘터리,12세이상관람가,일반영화,Disney Plus,False
679.0,아톰 새로운 시작,데이빗 보워스,,주식회사 블루필름웍스,주식회사 블루필름웍스,2024-01-31,개봉영화,장편,미국,144,"41,690,541","4,548","13,411,739","1,357",애니메이션,전체관람가,일반영화,"wavve, Watcha, TVING",False
682.0,악의 도시,현우성,,,(주)영화특별시에스엠씨,2025-06-20,개봉영화,장편,한국,119,"40,737,260","4,378","20,670,800","2,087",스릴러,15세이상관람가,일반영화,TVING,False
688.0,제이홉 인 더 박스,박준수,(주)하이브,,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2023-06-16,개봉영화,장편,한국,80,"85,413,500","4,162","46,382,500","2,252",다큐멘터리,12세이상관람가,일반영화,Disney Plus,False
690.0,귀멸의 칼날: 도공 마을 이어진 인연편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,주식회사 애니맥스브로드캐스팅코리아,2025-07-25,개봉영화,장편,일본,107,"43,523,500","4,083","11,447,400","1,094",애니메이션,15세이상관람가,일반영화,"Watcha, TVING",False
692.0,귀를 기울이면,히라카와 유이치로,,(주)퍼스트런,(주)팝엔터테인먼트,2023-04-19,개봉영화,장편,일본,123,"32,292,500","4,050","14,325,300","1,825",멜로/로맨스,전체관람가,일반영화,"Netflix, Netflix Standard with Ads",True
693.0,엑소시스트: 더 데빌,호세 프렌데스,,(주)제이앤씨미디어그룹,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",2024-09-25,개봉영화,장편,미국,161,"37,297,100","4,011","4,329,400",441,공포(호러),12세이상관람가,일반영화,"wavve, Watcha",False
